Area,Area_Level,Region,Year,IncomeGroup,Value,Prelim_Flag
Valenzuela,Province,,2021,4th Decile,5289.66,False
Valenzuela,Province,,2021,5th Decile,5260.84,False
Valenzuela,Province,,2021,6th Decile,5728.56,False
Valenzuela,Province,,2021,7th Decile,6971.48,False
Valenzuela,Province,,2021,8th Decile,7374.7,False
Valenzuela,Province,,2021,9th Decile,9328.28,False
Valenzuela,Province,,2021,All Income Groups,62704.85,False
Valenzuela,Province,,2023,10th Decile,11374.83,False
Valenzuela,Province,,2023,1st Decile,4429.33,False
Valenzuela,Province,,2023,2nd Decile,4856.89,False
Valenzuela,Province,,2023,3rd Decile,5187.11,False
Valenzuela,Province,,2023,4th Decile,5997.13,False
Valenzuela,Province,,2023,5th Decile,6898.67,False
Valenzuela,Province,,2023,6th Decile,7275.01,False
Valenzuela,Province,,2023,7th Decile,7464.16,False
Valenzuela,Province,,2023,8th Decile,8269.32,False
Valenzuela,Province,,2023,9th Decile,8139.7,False
Valenzuela,Province,,2023,All Income Groups,69892.16,False
Las Piñas,Province,,2018,10th Decile,15304.76,False
Las Piñas,Province,,2018,1st Decile,3428.67,False
Las Piñas,Province,,2018,2nd Decile,4412.58,False
Las Piñas,Province,,2018,3rd Decile,5303.65,False
Las Piñas,Province,,2018,4th Decile,5771.18,False
Las Piñas,Province,,2018,5th Decile,6461.74,False
Las Piñas,Province,,2018,6th Decile,7059.95,False
Las Piñas,Province,,2018,7th Decile,8437.25,False
Las Piñas,Province,,2018,8th Decile,8712.04,False
Las Piñas,Province,,2018,9th Decile,12413.93,False
Las Piñas,Province,,2018,All Income Groups,77305.75,False
Las Piñas,Province,,2021,10th Decile,13111.64,False
Las Piñas,Province,,2021,1st Decile,3336.31,False
Las Piñas,Province,,2021,2nd Decile,3976.73,False
Las Piñas,Province,,2021,3rd Decile,4622.11,False
Las Piñas,Province,,2021,4th Decile,5025.24,False
Las Piñas,Province,,2021,5th Decile,5623.53,False
Las Piñas,Province,,2021,6th Decile,6565.61,False
Las Piñas,Province,,2021,7th Decile,6798.1,False
Las Piñas,Province,,2021,8th Decile,7748.51,False
Las Piñas,Province,,2021,9th Decile,8774.5,False
Las Piñas,Province,,2021,All Income Groups,65582.27,False
Las Piñas,Province,,2023,10th Decile,17973.95,False
Las Piñas,Province,,2023,1st Decile,4905.24,False
Las Piñas,Province,,2023,2nd Decile,5972.29,False
Las Piñas,Province,,2023,3rd Decile,6668.52,False
Las Piñas,Province,,2023,4th Decile,7403.72,False
Las Piñas,Province,,2023,5th Decile,9040.78,False
Las Piñas,Province,,2023,6th Decile,9110.02,False
Las Piñas,Province,,2023,7th Decile,9793.41,False
Las Piñas,Province,,2023,8th Decile,11876.12,False
Las Piñas,Province,,2023,9th Decile,14072.9,False
Las Piñas,Province,,2023,All Income Groups,96816.95,False
Muntinlupa,Province,,2018,10th Decile,16774.77,False
Muntinlupa,Province,,2018,1st Decile,3094.77,False
Muntinlupa,Province,,2018,2nd Decile,3721.81,False
Muntinlupa,Province,,2018,3rd Decile,4188.18,False
Muntinlupa,Province,,2018,4th Decile,4411.52,False
Muntinlupa,Province,,2018,5th Decile,5038.91,False
Muntinlupa,Province,,2018,6th Decile,5278.37,False
Muntinlupa,Province,,2018,7th Decile,6383.3,False
Muntinlupa,Province,,2018,8th Decile,6691.37,False
Muntinlupa,Province,,2018,9th Decile,8691.8,False
Muntinlupa,Province,,2018,All Income Groups,64274.79,False
Muntinlupa,Province,,2021,10th Decile,10939.21,False
Muntinlupa,Province,,2021,1st Decile,3222.96,False
Muntinlupa,Province,,2021,2nd Decile,3875.35,False
Muntinlupa,Province,,2021,3rd Decile,4363.52,False
Muntinlupa,Province,,2021,4th Decile,4461.54,False
Muntinlupa,Province,,2021,5th Decile,5302.92,False
Muntinlupa,Province,,2021,6th Decile,5836.26,False
Muntinlupa,Province,,2021,7th Decile,6395.2,False
Muntinlupa,Province,,2021,8th Decile,7899.76,False
Muntinlupa,Province,,2021,9th Decile,8094.04,False
Muntinlupa,Province,,2021,All Income Groups,60390.76,False
Muntinlupa,Province,,2023,10th Decile,14718.31,False
Muntinlupa,Province,,2023,1st Decile,5055.53,False
Muntinlupa,Province,,2023,2nd Decile,5737.72,False
Muntinlupa,Province,,2023,3rd Decile,6193.05,False
Muntinlupa,Province,,2023,4th Decile,6818.25,False
Muntinlupa,Province,,2023,5th Decile,6806.8,False
Muntinlupa,Province,,2023,6th Decile,8057.82,False
Muntinlupa,Province,,2023,7th Decile,8179.7,False
Muntinlupa,Province,,2023,8th Decile,8543.02,False
Muntinlupa,Province,,2023,9th Decile,10218.37,False
Muntinlupa,Province,,2023,All Income Groups,80328.59,False
Parañaque,Province,,2018,10th Decile,19858.8,False
Parañaque,Province,,2018,1st Decile,4137.54,False
Parañaque,Province,,2018,2nd Decile,5361.83,False
Parañaque,Province,,2018,3rd Decile,6406.64,False
Parañaque,Province,,2018,4th Decile,6762.74,False
Parañaque,Province,,2018,5th Decile,8068.85,False
Parañaque,Province,,2018,6th Decile,8061.08,False
Parañaque,Province,,2018,7th Decile,9618.36,False
Parañaque,Province,,2018,8th Decile,10781.51,False
Parañaque,Province,,2018,9th Decile,14856.41,False
Parañaque,Province,,2018,All Income Groups,93913.75,False
Parañaque,Province,,2021,10th Decile,24354.55,False
Parañaque,Province,,2021,1st Decile,4193.32,False
Parañaque,Province,,2021,2nd Decile,5262.76,False
Parañaque,Province,,2021,3rd Decile,6056.41,False
Parañaque,Province,,2021,4th Decile,6152.67,False
Parañaque,Province,,2021,5th Decile,7314.07,False
Parañaque,Province,,2021,6th Decile,7372.59,False
Parañaque,Province,,2021,7th Decile,9172.76,False
Parañaque,Province,,2021,8th Decile,10429.75,False
Parañaque,Province,,2021,9th Decile,12911.46,False
Parañaque,Province,,2021,All Income Groups,93220.34,False
Parañaque,Province,,2023,10th Decile,26851.75,False
Parañaque,Province,,2023,1st Decile,5989.89,False
Parañaque,Province,,2023,2nd Decile,7156.42,False
Parañaque,Province,,2023,3rd Decile,7495.51,False
Parañaque,Province,,2023,4th Decile,9020.57,False
Parañaque,Province,,2023,5th Decile,9714.27,False
Parañaque,Province,,2023,6th Decile,9982.91,False
Parañaque,Province,,2023,7th Decile,11765.98,False
Parañaque,Province,,2023,8th Decile,12005.04,False
Parañaque,Province,,2023,9th Decile,14393.33,False
Parañaque,Province,,2023,All Income Groups,114375.68,False
Pasay City,HUC/City,,2018,10th Decile,8153.32,False
Pasay City,HUC/City,,2018,1st Decile,2444.21,False
Pasay City,HUC/City,,2018,2nd Decile,3082.72,False
Pasay City,HUC/City,,2018,3rd Decile,3527.71,False
Pasay City,HUC/City,,2018,4th Decile,4263.91,False
Pasay City,HUC/City,,2018,5th Decile,4662.4,False
Pasay City,HUC/City,,2018,6th Decile,4426.24,False
